                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5508,                 1.1137,                  1.222,                0.63632,                0.65352,                0.60904,                0.26421,                 1.8822,                 1.1995,                 1.4675,              0.0072775,              0.0072775,              0.0072775
                     35,                 1.5102,                   1.08,                 1.2094,                0.58829,                0.70588,                0.60054,                0.26196,                 1.8044,                 1.2159,                 1.4049,               0.007195,               0.007195,               0.007195
                     36,                 1.5421,                 1.0695,                 1.1853,                0.62374,                0.65914,                0.62632,                0.28161,                 1.8213,                 1.0984,                 1.3903,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.5333,                 1.0656,                 1.2005,                0.74542,                 0.6506,                0.70444,                 0.3271,                 1.6764,                0.95546,                 1.3616,                0.00703,                0.00703,                0.00703
                     38,                 1.4974,                 1.0073,                 1.1975,                0.64323,                0.68675,                0.66249,                0.31385,                  1.721,                  1.017,                 1.3864,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.5264,                 1.0485,                 1.1949,                0.69278,                0.65205,                0.65219,                0.30499,                 1.6587,                 1.0449,                 1.3485,               0.006865,               0.006865,               0.006865
                     40,                 1.4466,                0.98942,                 1.1784,                0.73241,                0.65957,                0.69784,                0.29278,                 1.7792,                0.95363,                 1.5246,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.4659,                0.99423,                 1.1869,                0.70197,                0.74699,                0.70981,                0.31695,                 1.9195,                0.94244,                 1.6291,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.4698,                  1.008,                 1.1946,                0.65085,                0.71084,                0.66178,                0.30256,                 2.0057,                 1.0204,                 1.6332,              0.0066175,              0.0066175,              0.0066175
                     43,                 1.4451,                 0.9984,                 1.1743,                0.70085,                0.66265,                0.69435,                0.29796,                 1.7446,                0.99277,                 1.4542,               0.006535,               0.006535,               0.006535
                     44,                 1.4559,                0.94937,                 1.1631,                 0.7412,                0.65566,                0.69848,                0.31524,                 1.7321,                0.97131,                  1.446,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.4657,                0.98497,                 1.1788,                 0.7375,                0.68675,                0.69845,                0.30834,                 1.6102,                0.96429,                 1.3128,                0.00637,                0.00637,                0.00637
                     46,                 1.4589,                0.95371,                 1.1649,                0.71647,                0.76116,                0.72072,                0.30355,                 1.6608,                 1.0414,                 1.3737,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.4232,                0.93983,                 1.1699,                0.67731,                 0.6747,                0.63898,                0.28602,                 1.5879,                0.98143,                 1.2933,               0.006205,               0.006205,               0.006205
                     48,                 1.4323,                0.94352,                  1.161,                0.69137,                 0.6506,                0.66352,                0.28038,                 1.6624,                 1.1858,                 1.3158,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.4273,                0.95966,                 1.1506,                0.68254,                0.64763,                0.60356,                0.27957,                 1.6335,                 1.0959,                 1.3095,                0.00604,                0.00604,                0.00604
                     50,                 1.3783,                0.92046,                 1.1716,                0.73245,                0.61446,                0.66596,                 0.3222,                  1.599,                 1.1128,                 1.3245,              0.0059575,              0.0059575,              0.0059575
                     51,                 1.4145,                0.92806,                 1.1591,                0.79384,                0.60312,                0.71456,                0.32422,                 1.6637,                0.99111,                 1.2939,               0.005875,               0.005875,               0.005875
                     52,                  1.405,                0.95599,                 1.1424,                0.79657,                0.60241,                0.73481,                0.34042,                 1.6406,                 1.0507,                 1.3489,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.3779,                0.94438,                  1.143,                0.69443,                0.72289,                0.74025,                0.33896,                 1.6128,                 1.1244,                 1.4262,                0.00571,                0.00571,                0.00571
                     54,                 1.3004,                0.86769,                  1.111,                0.75417,                0.63855,                0.71773,                0.32615,                 1.6242,                 1.1092,                 1.4052,              0.0056275,              0.0056275,              0.0056275
                     55,                  1.357,                0.87369,                 1.1087,                0.67144,                0.73867,                0.70686,                0.33039,                 1.6378,                0.99104,                  1.416,               0.005545,               0.005545,               0.005545
                     56,                 1.3028,                 0.8418,                 1.1178,                0.74843,                0.71084,                0.69065,                0.34305,                 1.5304,                0.96506,                 1.2703,              0.0054625,              0.0054625,              0.0054625
                     57,                 1.3114,                 0.8333,                 1.1099,                0.76017,                0.64922,                0.71538,                0.34306,                 1.6555,                0.94108,                 1.2776,                0.00538,                0.00538,                0.00538
                     58,                 1.3667,                0.87615,                 1.1241,                0.76293,                0.65918,                0.73621,                0.34846,                 1.6911,                0.96653,                  1.336,              0.0052975,              0.0052975,              0.0052975
                     59,                 1.2812,                0.82921,                 1.1029,                0.76513,                0.77108,                0.79076,                0.35854,                 1.6808,                0.92595,                 1.3468,               0.005215,               0.005215,               0.005215
                     60,                 1.2915,                0.82171,                 1.1037,                0.70598,                0.74699,                0.75025,                 0.3422,                  1.521,                 1.1159,                 1.2482,              0.0051325,              0.0051325,              0.0051325
                     61,                 1.2481,                0.82148,                 1.0896,                0.74844,                 0.6811,                0.70465,                0.32385,                 1.4656,                0.98131,                 1.2485,                0.00505,                0.00505,                0.00505
                     62,                 1.2812,                0.80829,                 1.0741,                0.74941,                 0.6988,                0.71719,                0.31085,                 1.5897,                 0.9328,                 1.3083,              0.0049675,              0.0049675,              0.0049675
                     63,                 1.2621,                0.78862,                 1.0849,                0.73391,                0.63141,                0.68713,                0.30268,                 1.6906,                 1.0473,                 1.3321,               0.004885,               0.004885,               0.004885
                     64,                 1.2446,                0.80933,                 1.0674,                0.77245,                0.59036,                0.66319,                 0.2924,                 1.6496,                 1.1369,                 1.3622,              0.0048025,              0.0048025,              0.0048025
                     65,                 1.2511,                0.80287,                 1.0875,                0.82189,                0.68675,                0.73963,                0.33494,                 1.5605,                 1.1006,                 1.2594,                0.00472,                0.00472,                0.00472
                     66,                 1.2296,                0.80128,                 1.0672,                0.71477,                0.69445,                0.70388,                0.34106,                   1.57,                  1.066,                 1.2835,              0.0046375,              0.0046375,              0.0046375
                     67,                 1.2002,                0.79255,                 1.0712,                 0.7435,                 0.6747,                0.65718,                0.30348,                 1.6827,                 1.0437,                 1.3348,               0.004555,               0.004555,               0.004555
                     68,                 1.1955,                0.78277,                 1.0685,                0.71522,                0.69598,                0.67531,                 0.3115,                  1.644,                 1.0423,                 1.3169,              0.0044725,              0.0044725,              0.0044725
                     69,                 1.2172,                0.78973,                  1.066,                0.72558,                0.73271,                0.70529,                0.33165,                 1.4687,                 0.9451,                 1.2257,                0.00439,                0.00439,                0.00439
                     70,                 1.2342,                0.79727,                  1.058,                0.76446,                0.70391,                 0.7368,                0.33876,                 1.5244,                0.91207,                 1.2221,              0.0043075,              0.0043075,              0.0043075
                     71,                 1.2018,                0.73752,                 1.0619,                0.78883,                0.67512,                 0.7381,                0.34603,                 1.3409,                0.98558,                 1.2313,               0.004225,               0.004225,               0.004225
                     72,                 1.1621,                0.73513,                 1.0456,                 0.6889,                0.72038,                0.68027,                0.34303,                 1.4075,                0.85405,                 1.2419,              0.0041425,              0.0041425,              0.0041425
                     73,                 1.1884,                0.77255,                 1.0516,                0.76114,                0.65269,                0.69564,                0.33796,                  1.454,                0.90014,                 1.3102,                0.00406,                0.00406,                0.00406
                     74,                 1.1841,                0.73629,                  1.053,                 0.7315,                0.68934,                0.71525,                0.32367,                 1.4042,                0.96986,                 1.2844,              0.0039775,              0.0039775,              0.0039775
                     75,                 1.2043,                0.75128,                 1.0572,                0.71698,                 0.6506,                0.67135,                0.32401,                 1.3608,                 0.9518,                 1.2511,               0.003895,               0.003895,               0.003895
                     76,                 1.1663,                0.73922,                 1.0428,                0.68936,                0.66265,                0.64255,                0.32011,                 1.3614,                 0.9723,                 1.2565,              0.0038125,              0.0038125,              0.0038125
                     77,                 1.1656,                0.72356,                 1.0512,                0.72489,                 0.6506,                0.71232,                0.33632,                 1.3962,                0.97799,                   1.23,                0.00373,                0.00373,                0.00373
                     78,                 1.1647,                0.73186,                 1.0359,                0.65041,                0.74699,                0.69384,                0.33278,                 1.4006,                0.94032,                 1.2151,              0.0036475,              0.0036475,              0.0036475
                     79,                 1.1306,                0.72136,                 1.0165,                 0.7844,                0.61367,                0.69932,                0.34152,                 1.3846,                0.91778,                 1.2253,               0.003565,               0.003565,               0.003565
                     80,                 1.1054,                 0.7214,                 1.0201,                0.70237,                0.68242,                0.71566,                 0.3263,                 1.4024,                0.90443,                 1.2211,              0.0034825,              0.0034825,              0.0034825
                     81,                 1.1354,                0.70729,                 1.0205,                0.68479,                0.71084,                0.68164,                0.33601,                  1.424,                0.91096,                 1.2103,                 0.0034,                 0.0034,                 0.0034
                     82,                 1.1111,                0.70006,                 1.0158,                0.70746,                 0.6747,                0.69626,                 0.3339,                 1.5113,                0.89629,                 1.2558,              0.0033175,              0.0033175,              0.0033175
                     83,                 1.1309,                0.71172,                 1.0186,                0.70539,                0.68675,                0.70349,                0.32914,                 1.5675,                0.90722,                 1.3006,               0.003235,               0.003235,               0.003235
                     84,                 1.0875,                0.69876,                 1.0193,                0.78977,                0.61446,                0.69243,                0.32673,                 1.6104,                0.93536,                 1.3124,              0.0031525,              0.0031525,              0.0031525
                     85,                 1.1168,                  0.696,                 1.0111,                0.74273,                 0.6957,                0.71142,                0.32337,                 1.7595,                 1.0683,                 1.3612,                0.00307,                0.00307,                0.00307
                     86,                 1.0663,                0.68023,                 1.0093,                0.69918,                 0.6506,                0.67256,                0.33199,                 1.6404,                0.95456,                 1.3381,              0.0029875,              0.0029875,              0.0029875
                     87,                 1.0604,                0.66411,                 1.0136,                0.73762,                0.74516,                0.73479,                0.34776,                 1.6192,                0.95313,                 1.2867,               0.002905,               0.002905,               0.002905
                     88,                 1.0652,                0.66221,                 1.0074,                0.75917,                0.71084,                0.71555,                0.34001,                 1.5704,                0.97393,                 1.2785,              0.0028225,              0.0028225,              0.0028225
